"Cell_Type","n_pseudobulk","donor_modelled","median_Exposure","median_Donor","median_Residuals"
"NK_CD16",91,FALSE,0.541234200077053,NA,0.458765799922947
"T_mem_CD8",92,FALSE,0.466208739230141,NA,0.533791260769859
"T_mem_CD4",92,FALSE,0.436320027344292,NA,0.563679972655708
"T_naive",91,FALSE,0.412693306889858,NA,0.587306693110142
"Mono_CD14",92,FALSE,0.407257277616538,NA,0.592742722383462
"B_naive",90,FALSE,0.272330781533494,NA,0.727669218466506
"Mono_CD16",89,FALSE,0.269497511394476,NA,0.730502488605524
"DC",83,FALSE,0.238744033210859,NA,0.761255966789141
"B_mem",90,FALSE,0.237863878739938,NA,0.762136121260062
"T_mix",87,FALSE,0.200693622662497,NA,0.799306377337503
"T_mait",87,FALSE,0.123292200269791,NA,0.876707799730209
"Plasma",50,FALSE,3.18424500362467e-16,NA,1
