"Exposure","Cell_Type","n_pseudobulk","n_donor","n_condition","donor_modelled","median_Condition","q25_Condition","q75_Condition","median_Donor","median_Residuals"
"C19","Mono_CD14",25,22,4,FALSE,0.187424760561687,0.0791701106129839,0.252048993311842,NA,0.812575239438313
"C19","T_mem_CD8",25,22,4,FALSE,0.0453182779921588,0,0.1475202053965,NA,0.954681722007841
"C19","NK_CD16",25,22,4,FALSE,0.0403876117867428,0,0.125321211911114,NA,0.959612388213257
"C19","Mono_CD16",23,22,4,FALSE,0.0277049276804017,0,0.134682539865502,NA,0.972295072319598
"C19","T_mem_CD4",25,22,4,FALSE,0.02578830747536,0,0.116583961517839,NA,0.97421169252464
"C19","T_naive",25,22,4,FALSE,0.00903504325416622,0,0.0972734505898652,NA,0.990964956745834
"C19","B_mem",24,21,4,FALSE,0,0,0.0848829181332333,NA,1
"C19","B_naive",24,21,4,FALSE,0,0,0.0776202829982791,NA,1
"C19","DC",19,17,4,FALSE,0,0,0.120510840162766,NA,1
"C19","Plasma",13,12,4,FALSE,0,0,0.099586634155042,NA,1
"C19","T_mait",21,20,4,FALSE,0,0,0.0110846358720651,NA,1
"C19","T_mix",22,21,4,FALSE,0,0,0.0448456896604827,NA,1
"HIV","T_mem_CD8",12,4,3,TRUE,9.33876428109086e-20,0,0.101529093434529,1.56724984413495e-13,0.877665034337811
"HIV","B_mem",12,4,3,TRUE,0,0,0.0296801818010453,6.6113877969324e-20,0.970186128422073
"HIV","B_naive",12,4,3,TRUE,0,0,7.35037185722746e-13,0,0.965980024467644
"HIV","DC",10,4,3,TRUE,0,0,0.0281103607247476,1.61589266989664e-17,0.957897695449234
"HIV","Mono_CD14",12,4,3,TRUE,0,0,0.0130940777085928,0,1
"HIV","Mono_CD16",12,4,3,TRUE,0,0,1.26604403899514e-12,0,1
"HIV","NK_CD16",12,4,3,TRUE,0,0,0.0519220355166783,2.02556294425722e-14,0.922995301917718
"HIV","Plasma",8,4,3,TRUE,0,0,7.43760131481387e-15,0,1
"HIV","T_mait",12,4,3,TRUE,0,0,0.0954032731854358,3.70222037161811e-15,0.925504042936114
"HIV","T_mem_CD4",12,4,3,TRUE,0,0,2.31558147154559e-12,0,0.999999999999999
"HIV","T_mix",12,4,3,TRUE,0,0,2.77932640734276e-10,0,0.979511109716671
"HIV","T_naive",12,4,3,TRUE,0,0,0.0295700455413145,0,0.978305605610537
"Influenza","Mono_CD14",20,5,4,TRUE,0.0548515059250361,0.0298679363738306,0.102872262425893,0.700010651869297,0.227782943058091
"Influenza","T_naive",20,5,4,TRUE,0.0126403739437496,0,0.0639768074028208,0.417925745967026,0.515543050281566
"Influenza","NK_CD16",20,5,4,TRUE,0.0113649847355113,2.32211779399788e-22,0.0568144077177741,0.297421957560287,0.601598088331666
"Influenza","B_mem",20,5,4,TRUE,0.00515921076436983,0,0.0545886197117251,0.352092342754377,0.605622637685586
"Influenza","B_naive",20,5,4,TRUE,1.34503599924681e-09,0,0.0642088231763955,0.222272097926912,0.714457187660076
"Influenza","T_mem_CD8",20,5,4,TRUE,8.30304723673533e-10,0,0.0700963676573453,0.329983145700768,0.588776168438121
"Influenza","DC",20,5,4,TRUE,5.74867338356463e-11,0,0.0612263499640801,0.356054919678404,0.57917762383755
"Influenza","T_mem_CD4",20,5,4,TRUE,7.32314770780195e-13,0,0.0420609411483508,0.237299671209482,0.700032071310081
"Influenza","Mono_CD16",19,5,4,TRUE,1.01618046136631e-14,0,0.0313259293543957,0.286638406977362,0.658535715731883
"Influenza","Plasma",11,4,4,TRUE,2.23663506562372e-16,0,0.156684581546693,9.966786921284e-11,0.859096481477973
"Influenza","T_mait",20,5,4,TRUE,6.73569852748477e-18,0,0.0537100013199325,0.0469787279517517,0.890594971930628
"Influenza","T_mix",19,5,4,TRUE,1.27339027873371e-21,0,0.0474788077501408,0.0436404478577197,0.907143844223809
"OP","B_mem",34,34,3,FALSE,0,0,0,NA,1
"OP","B_naive",34,34,3,FALSE,0,0,0,NA,1
"OP","DC",34,34,3,FALSE,0,0,0,NA,1
"OP","Mono_CD14",35,35,3,FALSE,0,0,1.66200014800885e-17,NA,1
"OP","Mono_CD16",35,35,3,FALSE,0,0,0.00265534171248915,NA,1
"OP","NK_CD16",34,34,3,FALSE,0,0,0.00811044722874508,NA,1
"OP","Plasma",18,18,3,FALSE,0,0,0,NA,1
"OP","T_mait",34,34,3,FALSE,0,0,0,NA,1
"OP","T_mem_CD4",35,35,3,FALSE,0,0,0,NA,1
"OP","T_mem_CD8",35,35,3,FALSE,0,0,0,NA,1
"OP","T_mix",34,34,3,FALSE,0,0,0,NA,1
"OP","T_naive",34,34,3,FALSE,0,0,0,NA,1
